股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600000,浦发银行,2017-04-28,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.150000,15.220000,15.080000,15.210000,149.634184,15.210000,0.000000,15718509.000000,238419161.000000,0.000727,328814037613.619995,328814037613.619995,0.000000,0.000000,6.293446,1.972813,-1.169200,0.939080,15.104000,15.145000,15.532000,15.693667,16.141667,,-0.282493,-0.271086,-0.022814,,36.058964,24.960895,58.255101,,15.565000,16.468868,14.661132,33.333333,25.000000,45.602317,36.625449,36.140035,0.009204,0.933961
sh600000,浦发银行,2017-04-27,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.050000,15.250000,15.030000,15.210000,149.634184,15.210000,0.010631,22887645.000000,345791526.000000,0.001059,328814037613.619995,328814037613.619995,0.000000,0.000000,6.293446,1.972813,-1.169200,0.939080,15.072000,15.175000,15.565000,15.728000,16.166333,1日、10日均线金叉；,-0.298752,-0.268234,-0.061037,,27.222774,19.411861,42.844600,,15.605000,16.499167,14.710833,33.333333,22.222222,45.602317,36.625449,36.140035,0.014618,1.255912
sh600000,浦发银行,2017-04-26,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.060000,15.110000,15.000000,15.050000,148.060123,15.050000,0.000000,14939871.000000,225022668.000000,0.000691,325355112826.099976,325355112826.099976,0.000000,0.000000,6.127351,1.952060,-1.694591,0.962498,15.012000,15.229000,15.605000,15.763000,16.191000,,-0.315160,-0.260604,-0.109112,,16.834161,15.506404,19.489675,金叉,15.654500,16.517988,14.791012,25.000000,20.833333,27.857318,27.723718,31.611577,0.007309,0.683476
sh600000,浦发银行,2017-04-25,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.020000,15.100000,14.990000,15.050000,148.060123,15.050000,0.003333,12975919.000000,195296862.000000,0.000600,325355112826.099976,325355112826.099976,0.000000,0.000000,6.127351,1.952060,-1.694591,0.962498,15.024000,15.313000,15.654500,15.806000,16.216333,1日、5日均线金叉；,-0.315227,-0.246965,-0.136524,,14.498553,14.842526,13.810608,,15.700000,16.531234,14.868766,25.000000,20.833333,27.857318,27.723718,31.611577,0.007333,0.546084
sh600000,浦发银行,2017-04-24,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.050000,15.110000,14.910000,15.000000,147.568229,15.000000,-0.003322,17627803.000000,264649933.000000,0.000815,324274198830.000000,324274198830.000000,0.000000,0.000000,6.106995,1.945574,-1.688961,0.959300,15.074000,15.397000,15.700000,15.845333,16.242167,,-0.310728,-0.229900,-0.161656,,12.132445,15.014512,6.368311,,15.744000,16.536716,14.951284,16.666667,20.833333,22.361120,24.955825,30.190828,0.013289,0.684719
sh600000,浦发银行,2017-04-21,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,14.920000,15.070000,14.850000,15.050000,148.060123,15.050000,0.009390,22688358.000000,340453104.000000,0.001049,325355112826.099976,325355112826.099976,0.000000,0.000000,6.127351,1.952060,-1.694591,0.962498,15.186000,15.494000,15.744000,15.886000,16.267833,,-0.295374,-0.209693,-0.171363,,11.441911,16.455545,1.414642,,15.780500,16.551945,15.009055,16.666667,20.833333,23.877014,25.863764,30.804110,0.014755,0.767356
sh600000,浦发银行,2017-04-20,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.120000,15.140000,14.900000,14.910000,146.682819,14.910000,-0.013236,41061406.000000,614436383.000000,0.001899,322328553637.020020,322328553637.020020,0.000000,0.000000,6.070353,1.933901,-1.678827,0.953544,15.278000,15.599000,15.780500,15.930667,16.291667,,-0.276572,-0.188272,-0.176600,,8.390936,18.962362,-12.751916,,15.835000,16.523472,15.146528,16.666667,22.222222,9.573303,18.227875,26.814945,0.015884,1.242006
sh600000,浦发银行,2017-04-19,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.250000,15.270000,15.110000,15.110000,148.650396,15.110000,-0.012418,24455407.000000,371021507.000000,0.001131,326652209621.419983,326652209621.419983,0.000000,0.000000,6.151779,1.959842,-1.701347,0.966335,15.446000,15.718000,15.835000,15.981333,16.316500,,-0.234297,-0.166197,-0.136198,,12.176569,24.248076,-11.966445,,15.886500,16.507914,15.265086,25.000000,25.000000,12.331862,21.069726,29.112694,0.010458,0.828053
sh600000,浦发银行,2017-04-18,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.500000,15.520000,15.300000,15.300000,150.519593,15.300000,-0.016710,22889980.000000,351624622.000000,0.001059,330759682806.599976,330759682806.599976,0.000000,0.000000,6.229134,1.984486,-1.722740,0.978486,15.602000,15.823000,15.886500,16.024667,16.340667,,-0.197293,-0.149173,-0.096241,,18.264853,30.283829,-5.773099,,15.931500,16.507877,15.355123,25.000000,27.777778,15.976393,24.379737,31.576029,0.014139,0.787013
sh600000,浦发银行,2017-04-17,金融行业,融资融券；国企改革；保险重仓；信托重仓；上海本地；超大盘；基金重仓,上海,15.530000,15.600000,15.300000,15.560000,153.077443,15.560000,0.003224,36739448.000000,566536789.000000,0.001699,336380435586.320007,336380435586.320007,0.000000,0.000000,6.334989,2.018209,-1.752015,0.995114,15.720000,15.894000,15.931500,16.059667,16.356833,,-0.166539,-0.137142,-0.058793,,27.397279,36.293317,9.605204,,15.968000,16.527439,15.408561,25.000000,30.555556,24.097730,30.363142,35.517106,0.019342,1.301483
