交易日期,股票代码,开盘价,最高价,最低价,收盘价,涨跌幅,最近20个交易日最高价,最近20个交易日最低价,信号
1999-11-10,sh600000,29.5,29.8,27.0,27.75,1.775,,,
1999-11-11,sh600000,27.58,28.38,27.53,27.71,-0.001441,,,
1999-11-12,sh600000,27.86,28.3,27.77,28.05,0.01227,,,
1999-11-15,sh600000,28.2,28.25,27.7,27.75,-0.010695,,,
1999-11-16,sh600000,27.88,27.97,26.48,26.55,-0.043243,,,
1999-11-17,sh600000,26.5,27.18,26.37,27.18,0.023729,,,
1999-11-18,sh600000,27.2,27.58,26.78,27.02,-0.005887,,,
1999-11-19,sh600000,27.5,27.53,26.8,26.88,-0.005181,,,
1999-11-22,sh600000,26.88,26.95,26.3,26.45,-0.015997,,,
1999-11-23,sh600000,26.45,26.55,26.1,26.45,0.0,,,
1999-11-24,sh600000,26.44,26.55,26.01,26.43,-0.000756,,,
1999-11-25,sh600000,26.3,26.66,26.02,26.4,-0.001135,,,
1999-11-26,sh600000,26.43,26.66,26.15,26.45,0.001894,,,
1999-11-29,sh600000,26.45,26.83,26.22,26.33,-0.004537,,,
1999-11-30,sh600000,26.3,26.5,26.11,26.4,0.002659,,,
1999-12-01,sh600000,26.31,26.9,26.21,26.6,0.007576,,,
1999-12-02,sh600000,26.52,26.72,26.22,26.26,-0.012782,,,
1999-12-03,sh600000,26.25,26.65,26.2,26.36,0.003808,,,
1999-12-06,sh600000,26.3,26.35,25.6,25.66,-0.026555,,,
1999-12-07,sh600000,25.6,25.85,25.5,25.6,-0.002338,29.8,25.5,
1999-12-08,sh600000,25.6,25.76,25.5,25.53,-0.002734,28.38,25.5,
1999-12-09,sh600000,25.5,25.55,25.3,25.36,-0.006659,28.3,25.3,卖出点
1999-12-10,sh600000,25.36,26.1,25.22,25.97,0.024054,28.25,25.22,
1999-12-13,sh600000,25.98,26.45,25.6,25.92,-0.001925,27.97,25.22,
1999-12-14,sh600000,25.7,26.0,25.7,26.0,0.003086,27.58,25.22,
1999-12-15,sh600000,26.0,26.9,25.9,26.45,0.017308,27.58,25.22,
1999-12-16,sh600000,26.5,26.5,25.95,26.0,-0.017013,27.53,25.22,
1999-12-17,sh600000,26.0,26.13,25.51,25.58,-0.016154,26.95,25.22,
1999-12-21,sh600000,25.45,25.55,25.14,25.24,-0.013292,26.9,25.14,
1999-12-22,sh600000,25.24,25.35,25.05,25.15,-0.003566,26.9,25.05,
1999-12-23,sh600000,25.2,25.3,24.7,24.78,-0.014712,26.9,24.7,卖出点
1999-12-24,sh600000,24.6,25.07,24.59,24.75,-0.001211,26.9,24.59,
1999-12-27,sh600000,24.75,25.0,24.5,24.58,-0.006869,26.9,24.5,卖出点
1999-12-28,sh600000,24.54,25.08,24.5,24.6,0.000814,26.9,24.5,
1999-12-29,sh600000,24.71,24.97,24.57,24.66,0.002439,26.9,24.5,
1999-12-30,sh600000,24.9,24.99,24.65,24.75,0.00365,26.9,24.5,
2000-01-04,sh600000,24.98,25.78,24.75,25.57,0.033131,26.9,24.5,
2000-01-05,sh600000,25.57,25.98,25.15,25.28,-0.011341,26.9,24.5,
2000-01-06,sh600000,25.18,26.3,25.05,25.99,0.028085,26.9,24.5,
2000-01-07,sh600000,26.3,27.5,26.12,26.9,0.035013,27.5,24.5,
2000-01-10,sh600000,27.0,27.85,26.71,27.25,0.013011,27.85,24.5,
2000-01-11,sh600000,27.25,27.3,26.12,26.2,-0.038532,27.85,24.5,
2000-01-12,sh600000,26.0,26.0,24.8,25.12,-0.041221,27.85,24.5,
2000-01-13,sh600000,25.0,25.25,24.8,24.9,-0.008758,27.85,24.5,
2000-01-14,sh600000,24.88,25.0,23.91,24.2,-0.028112,27.85,23.91,卖出点
2000-01-17,sh600000,24.08,24.44,23.75,24.4,0.008264,27.85,23.75,
2000-01-18,sh600000,24.5,24.57,23.88,24.14,-0.010656,27.85,23.75,
2000-01-19,sh600000,24.14,24.29,23.98,24.13,-0.000414,27.85,23.75,
2000-01-20,sh600000,24.12,24.65,24.1,24.44,0.012847,27.85,23.75,
2000-01-21,sh600000,24.51,24.63,24.08,24.27,-0.006956,27.85,23.75,
2000-01-24,sh600000,24.2,24.25,23.95,24.18,-0.003708,27.85,23.75,
2000-01-25,sh600000,24.18,25.16,24.18,24.59,0.016956,27.85,23.75,
2000-01-26,sh600000,24.6,24.8,24.31,24.41,-0.00732,27.85,23.75,
2000-01-27,sh600000,24.47,24.78,24.2,24.59,0.007374,27.85,23.75,
2000-01-28,sh600000,24.6,25.1,24.56,25.04,0.0183,27.85,23.75,
2000-02-14,sh600000,26.0,27.48,25.5,27.2,0.086262,27.85,23.75,
2000-02-15,sh600000,27.2,27.48,25.65,25.68,-0.055882,27.85,23.75,
2000-02-16,sh600000,25.5,25.55,24.91,25.2,-0.018692,27.85,23.75,
2000-02-17,sh600000,25.25,26.4,24.23,24.9,-0.011905,27.85,23.75,
2000-02-18,sh600000,24.9,25.0,24.3,24.68,-0.008835,27.85,23.75,
2000-02-21,sh600000,24.75,26.3,24.2,25.8,0.045381,27.48,23.75,
2000-02-22,sh600000,25.88,26.0,24.6,24.75,-0.040698,27.48,23.75,
2000-02-23,sh600000,24.6,25.25,24.5,24.6,-0.006061,27.48,23.75,
2000-02-24,sh600000,24.6,25.0,24.5,24.82,0.008943,27.48,23.75,
2000-02-25,sh600000,24.9,24.97,24.5,24.6,-0.008864,27.48,23.75,
2000-02-28,sh600000,24.6,25.25,24.35,25.08,0.019512,27.48,23.88,
2000-02-29,sh600000,25.21,25.6,24.8,25.17,0.003589,27.48,23.95,
2000-03-01,sh600000,25.2,27.1,25.17,25.82,0.025824,27.48,23.95,
2000-03-02,sh600000,25.78,26.0,25.1,25.42,-0.015492,27.48,23.95,
2000-03-03,sh600000,25.6,26.7,25.58,26.0,0.022817,27.48,23.95,
2000-03-06,sh600000,26.48,26.9,25.55,25.6,-0.015385,27.48,24.18,
2000-03-07,sh600000,25.2,26.3,25.01,25.8,0.007813,27.48,24.2,
2000-03-08,sh600000,26.0,26.18,25.43,25.69,-0.004264,27.48,24.2,
2000-03-09,sh600000,25.7,27.49,25.38,26.4,0.027637,27.49,24.2,
2000-03-10,sh600000,26.4,26.5,25.51,25.62,-0.029545,27.49,24.2,
2000-03-13,sh600000,25.6,25.98,25.36,25.53,-0.003513,27.49,24.2,
2000-03-14,sh600000,25.0,25.42,24.8,25.42,-0.004309,27.49,24.2,
2000-03-15,sh600000,25.4,25.42,25.0,25.14,-0.011015,27.49,24.2,
2000-03-16,sh600000,25.0,25.08,24.28,24.5,-0.025457,27.49,24.2,
2000-03-17,sh600000,24.5,25.2,24.4,24.86,0.014694,27.49,24.2,
2000-03-20,sh600000,24.5,25.2,24.5,25.02,0.006436,27.49,24.28,
2000-03-21,sh600000,25.18,25.2,24.82,25.0,-0.000799,27.49,24.28,
2000-03-22,sh600000,25.08,25.71,24.88,25.34,0.0136,27.49,24.28,
2000-03-23,sh600000,25.35,25.68,25.2,25.51,0.006709,27.49,24.28,
2000-03-24,sh600000,26.01,27.05,25.51,25.51,0.0,27.49,24.28,
2000-03-27,sh600000,25.71,26.26,25.4,25.9,0.015288,27.49,24.28,
2000-03-28,sh600000,26.03,26.3,25.25,25.5,-0.015444,27.49,24.28,
2000-03-29,sh600000,25.55,25.7,25.06,25.18,-0.012549,27.49,24.28,
2000-03-30,sh600000,25.25,25.72,25.25,25.38,0.007943,27.49,24.28,
2000-03-31,sh600000,25.45,25.58,25.1,25.22,-0.006304,27.49,24.28,
2000-04-03,sh600000,25.2,25.5,25.1,25.24,0.000793,27.49,24.28,
2000-04-04,sh600000,25.2,25.2,24.86,24.9,-0.013471,27.49,24.28,
2000-04-05,sh600000,24.9,25.49,24.88,25.15,0.01004,27.49,24.28,
2000-04-06,sh600000,25.15,25.39,25.06,25.31,0.006362,27.05,24.28,
2000-04-07,sh600000,25.42,25.9,25.38,25.69,0.015014,27.05,24.28,
2000-04-10,sh600000,25.72,25.9,25.43,25.54,-0.005839,27.05,24.28,
2000-04-11,sh600000,25.6,26.08,25.4,25.56,0.000783,27.05,24.28,
2000-04-12,sh600000,25.62,26.0,25.35,25.45,-0.004304,27.05,24.28,
2000-04-13,sh600000,25.45,25.88,25.4,25.6,0.005894,27.05,24.4,
2000-04-14,sh600000,25.68,26.2,25.6,25.83,0.008984,27.05,24.5,
2000-04-17,sh600000,26.0,26.2,25.18,25.3,-0.020519,27.05,24.82,
2000-04-18,sh600000,25.31,25.45,25.01,25.32,0.000791,27.05,24.86,
2000-04-19,sh600000,25.45,25.78,25.19,25.3,-0.00079,27.05,24.86,
2000-04-20,sh600000,25.3,25.5,25.19,25.32,0.000791,27.05,24.86,
2000-04-21,sh600000,25.0,25.49,25.0,25.15,-0.006714,26.3,24.86,
2000-04-24,sh600000,25.15,25.2,24.75,24.82,-0.013121,26.3,24.75,卖出点
2000-04-25,sh600000,24.81,25.09,24.78,24.84,0.000806,26.2,24.75,
2000-04-26,sh600000,24.88,25.57,24.8,25.0,0.006441,26.2,24.75,
2000-04-27,sh600000,25.0,25.2,24.68,24.74,-0.0104,26.2,24.68,卖出点
2000-04-28,sh600000,24.74,25.0,24.65,25.0,0.010509,26.2,24.65,
2000-05-09,sh600000,24.9,24.9,24.35,24.43,-0.0228,26.2,24.35,卖出点
2000-05-10,sh600000,24.4,24.51,23.98,24.0,-0.017601,26.2,23.98,卖出点
2000-05-11,sh600000,24.0,24.27,23.8,23.9,-0.004167,26.2,23.8,卖出点
2000-05-12,sh600000,23.93,24.1,23.85,23.94,0.001674,26.2,23.8,
2000-05-15,sh600000,23.95,24.0,23.01,23.06,-0.036759,26.2,23.01,卖出点
