股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz300085,银之杰,2017-04-28,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,19.450000,19.830000,19.200000,19.630000,215.426507,19.630000,-0.007583,20674492.000000,403695414.470000,0.058824,6899246113.110000,13427190285.469999,0.000000,0.000000,168.353345,16.656682,125.431310,13.775439,18.852000,18.215000,18.381500,18.860000,19.483500,,-0.160423,-0.414493,0.508140,,72.896257,61.278178,96.132414,,18.372500,20.654542,16.090458,58.333333,51.388889,67.014296,57.984176,51.981809,0.031850,0.769095
sz300085,银之杰,2017-04-27,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,18.330000,20.490000,18.220000,19.780000,217.072660,19.780000,0.053809,39696813.000000,771570656.430000,0.112947,6951965772.660000,13529792350.820000,0.000000,0.000000,169.639794,16.783962,126.389776,13.880702,18.404000,18.116000,18.372500,18.871667,19.475333,1日、30日均线金叉；1日、60日均线金叉；5日、20日均线金叉；,-0.276271,-0.478010,0.403478,,69.730859,55.469139,98.254298,,18.370500,20.577688,16.163312,58.333333,50.000000,70.007130,59.417048,52.738627,0.120938,1.516536
sz300085,银之杰,2017-04-26,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,18.400000,18.980000,18.260000,18.770000,205.988566,18.770000,0.011860,25848258.000000,481939845.720000,0.073544,6596986731.690000,12838938444.129999,0.000000,0.000000,160.977702,15.926945,119.936102,13.171930,18.128000,17.963000,18.370500,18.888667,19.463000,5日、10日均线金叉；,-0.435390,-0.528445,0.186111,,63.171167,48.338279,92.836943,,18.415000,20.635742,16.194258,58.333333,48.611111,59.978014,52.113131,47.838136,0.038814,1.104592
sz300085,银之杰,2017-04-25,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,17.530000,19.280000,17.530000,18.550000,203.574208,18.550000,0.058186,32730689.000000,617233924.730000,0.093127,6519664564.350000,12688455414.950001,0.000000,0.000000,159.090909,15.740268,118.530351,13.017544,17.720000,17.909000,18.415000,18.950000,19.472167,1日、10日均线金叉；1日、20日均线金叉；,-0.529313,-0.551709,0.044791,金叉,53.459822,40.921835,78.535797,,18.483000,20.712934,16.253066,50.000000,47.222222,57.391842,50.328143,46.684132,0.099829,1.630371
sz300085,银之杰,2017-04-24,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,17.200000,18.360000,16.800000,17.530000,192.380370,17.530000,0.008051,15457693.000000,273021451.600000,0.046989,5766745879.410000,11990761370.570000,0.000000,0.000000,148.433531,14.874765,251.506456,12.388693,17.454000,17.905000,18.483000,19.015000,19.485500,1日、5日均线金叉；,-0.619095,-0.557308,-0.123574,,42.647071,34.652841,58.635531,,18.590000,20.805403,16.374597,41.666667,47.222222,43.214601,40.977911,40.871906,0.089707,1.000817
sz300085,银之杰,2017-04-21,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,18.300000,18.300000,17.300000,17.390000,190.843961,17.390000,-0.054891,17146416.000000,304260876.570000,0.052122,5720690863.830000,11894999442.910000,0.000000,0.000000,147.248095,14.755971,249.497848,12.289753,17.578000,17.958000,18.590000,19.119333,19.506500,1日、5日均线死叉；1日、10日均线死叉；,-0.620830,-0.541861,-0.157936,,39.986867,30.655726,58.649149,,18.695500,20.890407,16.500593,41.666667,50.000000,40.967961,39.546134,40.011711,0.054348,1.267997
sz300085,银之杰,2017-04-20,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,16.730000,18.400000,16.540000,18.400000,201.928056,18.400000,0.099821,25820548.000000,463589944.780000,0.078490,6052944904.800000,12585853349.600000,1.000000,0.000000,155.800169,15.612988,263.988522,13.003534,17.828000,18.097000,18.695500,19.230000,19.531500,1日、5日均线金叉；1日、10日均线金叉；,-0.599759,-0.522119,-0.155279,,38.842089,25.990156,64.545956,金叉,18.778000,20.981541,16.574459,50.000000,51.388889,53.753365,47.102429,44.486141,0.111178,2.163621
sz300085,银之杰,2017-04-19,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,17.090000,17.210000,16.350000,16.730000,183.600890,16.730000,-0.028455,9222678.000000,153191763.240000,0.028035,5503574361.810000,11443550355.370001,0.000000,0.000000,141.659610,14.195940,240.028694,11.823322,17.798000,18.154000,18.778000,19.320667,19.544500,,-0.666977,-0.502709,-0.328535,,16.596467,19.564189,10.661024,,18.939000,20.965619,16.912381,50.000000,51.388889,18.863371,25.537432,32.530604,0.049942,1.238277
sz300085,银之杰,2017-04-18,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,18.150000,18.300000,17.040000,17.220000,188.978322,17.220000,-0.051240,9578050.000000,168967233.010000,0.029116,5664766916.340000,11778717102.180000,0.000000,0.000000,145.808637,14.611720,247.058824,12.169611,18.098000,18.377000,18.939000,19.468000,19.575333,,-0.573034,-0.461642,-0.222784,,17.883631,21.048050,11.554792,死叉,19.078500,20.970778,17.186222,50.000000,52.777778,23.130119,28.682433,34.627542,0.069421,1.472200
sz300085,银之杰,2017-04-17,电子信息,新零售；O2O模式；业绩预降；股权激励,广东；深圳,18.550000,18.550000,18.000000,18.150000,199.184468,18.150000,-0.026288,5844541.000000,106502472.530000,0.017766,5970703805.550000,12414849907.350000,0.000000,0.000000,153.683319,15.400855,260.401722,12.826855,18.356000,18.513000,19.078500,19.581333,19.626333,1日、5日均线死叉；1日、10日均线死叉；,-0.494685,-0.433795,-0.121781,,22.825446,22.630259,23.215819,,19.182500,21.033035,17.331965,50.000000,52.777778,36.014367,36.503735,39.226704,0.029506,1.011436
