交易日期,股票代码,开盘价,最高价,最低价,收盘价,涨跌幅_股票,成交量,涨跌幅_指数,是否交易
2009-10-30,sz300001,42.0,64.0,35.01,44.0,0.8487389999999999,23608562.0,0.0119508051086,1.0
2009-11-02,sz300001,39.6,41.87,39.6,39.6,-0.1,6570715.0,0.026970642722400004,1.0
2009-11-03,sz300001,38.2,39.36,36.15,36.9,-0.068182,6599317.0,0.012214584044299998,1.0
2009-11-04,sz300001,38.0,38.9,37.23,38.02,0.030351999999999997,4076444.0,0.0045950363332200005,1.0
2009-11-05,sz300001,38.03,40.98,37.51,39.6,0.041557,5352430.0,0.00847360110467,1.0
2009-11-06,sz300001,39.63,40.4,38.25,38.91,-0.017424000000000002,3378318.0,0.0028494001679800003,1.0
2009-11-09,sz300001,38.65,39.9,38.18,39.48,0.014649,3287854.0,0.00365039632874,1.0
2009-11-10,sz300001,39.56,39.8,37.8,37.97,-0.038247,3366383.0,0.000951004380288,1.0
2009-11-11,sz300001,37.65,38.4,37.0,38.22,0.0065840000000000004,2061047.0,-0.00107594199981,1.0
2009-11-12,sz300001,38.2,38.89,37.5,38.56,0.008896,2164705.0,-0.0007054695939460001,1.0
2009-11-13,sz300001,38.57,41.87,38.57,40.76,0.057053999999999994,6036977.0,0.004632912589229999,1.0
2009-11-16,sz300001,40.8,41.3,39.62,41.0,0.005888,3283851.0,0.027418317569400004,1.0
2009-11-17,sz300001,40.9,41.82,40.55,40.9,-0.002439,2409525.0,0.00239385658234,1.0
2009-11-18,sz300001,41.0,43.16,41.0,42.84,0.047432999999999996,4062629.0,0.00619576044278,1.0
2009-11-19,sz300001,42.9,47.1,42.72,44.91,0.048319,5973878.0,0.00526151675784,1.0
2009-11-20,sz300001,44.33,46.55,44.1,44.38,-0.011801,3714625.0,-0.0036920927179000004,1.0
2009-11-23,sz300001,44.33,45.98,44.12,45.41,0.023209,3162982.0,0.00916166669185,1.0
2009-11-24,sz300001,45.8,46.23,41.01,41.43,-0.087646,4419349.0,-0.0344838947362,1.0
2009-11-25,sz300001,41.13,44.19,41.1,43.9,0.059619000000000005,3516422.0,0.0206729889283,1.0
2009-11-26,sz300001,43.7,47.49,43.0,47.28,0.07699299999999999,6325426.0,-0.036226091660899996,1.0
2009-11-27,sz300001,46.1,48.6,45.54,47.3,0.00042300000000000004,6032089.0,-0.023560539643900005,1.0
2009-11-30,sz300001,47.32,47.9,45.0,46.92,-0.008034,3405152.0,0.0319836448372,1.0
2009-12-01,sz300001,46.48,47.38,45.7,46.98,0.001279,2749390.0,0.0125371639596,1.0
