date,open,high,close,price_change,p_change
2017-12-14,13.67,13.84,13.73,0.07,0.51
2017-12-13,13.81,13.85,13.66,-0.15,-1.09
2017-12-12,13.93,14.0,13.81,-0.11,-0.79
2017-12-11,13.77,13.99,13.92,0.27,1.98
2017-12-08,13.69,13.87,13.65,-0.02,-0.15
2017-12-07,13.54,13.88,13.67,0.25,1.86
2017-12-06,13.16,13.54,13.42,0.04,0.3
2017-12-05,14.07,14.15,13.38,-0.68,-4.84
2017-12-04,14.2,14.28,14.06,-0.13,-0.92
2017-12-01,14.08,14.25,14.19,0.12,0.85
2017-11-30,14.07,14.19,14.07,0.01,0.07
2017-11-29,14.28,14.33,14.06,-0.2,-1.4
2017-11-28,14.13,14.32,14.26,0.18,1.28
2017-11-27,14.27,14.34,14.08,-0.21,-1.47
2017-11-24,14.03,14.4,14.29,0.12,0.85
2017-11-23,14.5,14.61,14.17,-0.46,-3.14
2017-11-22,14.54,14.65,14.63,0.18,1.25
2017-11-21,14.39,14.63,14.45,0.02,0.14
2017-11-20,14.57,14.7,14.43,-0.12,-0.82
2017-11-17,15.27,15.28,14.55,-0.61,-4.02
2017-11-16,15.15,15.42,15.16,-0.03,-0.2
2017-11-15,15.57,15.65,15.19,-0.36,-2.31
2017-11-14,15.78,15.92,15.55,-0.43,-2.69
2017-11-13,15.88,16.14,15.98,0.07,0.44
2017-11-10,15.88,15.98,15.91,0.08,0.51
2017-11-09,15.8,15.96,15.83,0.13,0.83
2017-11-08,15.71,15.85,15.7,-0.01,-0.06
2017-11-07,15.73,15.73,15.71,0.02,0.13
2017-11-06,15.6,15.69,15.69,0.1,0.64
2017-11-03,15.54,15.77,15.59,-0.08,-0.51
2017-11-02,15.9,15.9,15.67,-0.19,-1.2
2017-11-01,15.95,16.06,15.86,0.03,0.19
2017-10-31,15.89,15.94,15.83,0.02,0.13
2017-10-30,16.49,16.64,15.81,-0.68,-4.12
2017-10-27,16.78,16.79,16.49,-0.3,-1.79
2017-10-26,16.48,16.85,16.79,0.34,2.07
2017-10-25,16.35,16.56,16.45,0.19,1.17
2017-10-24,16.47,16.48,16.26,-0.24,-1.46
2017-10-23,16.3,16.58,16.5,0.17,1.04
2017-10-20,16.15,16.36,16.33,0.15,0.93
2017-10-19,16.14,16.38,16.18,-0.18,-1.1
2017-10-18,16.53,16.73,16.36,-0.14,-0.85
2017-10-17,16.62,16.65,16.5,-0.2,-1.2
2017-10-16,17.18,17.28,16.7,0.1,0.6
2017-10-13,16.56,16.67,16.6,0.04,0.24
2017-10-12,16.52,16.58,16.56,0.05,0.3
2017-10-11,17.0,17.08,16.51,-0.48,-2.83
2017-10-10,17.1,17.15,16.99,-0.11,-0.64
2017-10-09,17.08,17.44,17.1,0.02,0.12
2017-09-29,16.65,17.2,17.08,0.43,2.58
2017-09-28,17.12,17.19,16.65,-0.35,-2.06
2017-09-27,16.83,17.09,17.0,0.13,0.77
2017-09-26,16.81,16.91,16.87,0.06,0.36
2017-09-25,17.19,17.33,16.81,-0.53,-3.06
2017-09-22,17.39,17.76,17.34,-0.37,-2.09
2017-09-21,17.39,17.75,17.71,0.36,2.08
2017-09-20,17.33,17.56,17.35,0.08,0.46
2017-09-19,17.72,17.8,17.27,-0.52,-2.92
2017-09-18,17.98,18.02,17.79,-0.11,-0.61
2017-09-15,17.44,18.03,17.9,0.46,2.64
2017-09-14,17.47,17.84,17.44,-0.06,-0.34
2017-09-13,17.61,17.78,17.5,0.24,1.39
2017-09-12,17.11,17.99,17.26,0.18,1.05
2017-09-11,16.39,17.35,17.08,1.11,6.95
2017-09-08,16.06,16.12,15.97,-0.09,-0.56
2017-09-07,16.41,16.41,16.06,-0.29,-1.77
2017-09-06,16.16,16.37,16.35,0.16,0.99
2017-09-05,15.97,16.34,16.19,0.22,1.38
2017-09-04,15.9,16.05,15.97,0.05,0.31
2017-09-01,15.9,15.95,15.92,0.04,0.25
2017-08-31,15.86,16.01,15.88,-0.02,-0.13
2017-08-30,16.01,16.09,15.9,-0.11,-0.69
2017-08-29,16.15,16.31,16.01,-0.25,-1.54
2017-08-28,16.05,16.36,16.26,0.09,0.56
2017-08-25,16.27,16.43,16.17,0.08,0.5
2017-08-24,15.99,16.09,16.09,0.14,0.88
2017-08-23,16.1,16.25,15.95,-0.13,-0.81
2017-08-22,16.31,16.36,16.08,-0.22,-1.35
2017-08-21,15.75,16.35,16.3,0.52,3.29
2017-08-18,15.8,15.92,15.78,-0.16,-1.0
2017-08-17,16.0,16.0,15.94,-0.15,-0.93
2017-08-16,15.78,16.25,16.09,0.29,1.83
2017-08-15,15.75,15.99,15.8,0.06,0.38
2017-08-14,15.4,15.76,15.74,0.24,1.55
2017-08-11,15.38,15.77,15.5,0.0,0.0
2017-08-10,15.76,15.84,15.5,-0.09,-0.58
2017-08-09,15.69,15.76,15.59,-0.07,-0.45
2017-08-08,15.58,15.75,15.66,0.13,0.84
2017-08-07,15.44,15.67,15.53,0.1,0.65
2017-08-04,15.68,15.75,15.43,-0.2,-1.28
2017-08-03,15.69,15.88,15.63,-0.07,-0.45
2017-08-02,15.92,16.3,15.7,-0.28,-1.75
2017-08-01,15.62,16.15,15.98,0.33,2.11
2017-07-31,15.69,15.78,15.65,0.03,0.19
2017-07-28,15.61,15.8,15.64,-0.05,-0.32
2017-07-27,15.14,15.94,15.69,0.47,3.09
2017-07-26,15.18,15.31,15.22,0.04,0.26
2017-07-25,15.29,15.38,15.18,-0.1,-0.65
2017-07-24,15.16,15.4,15.28,0.18,1.19
2017-07-21,15.16,15.25,15.1,-0.05,-0.33
2017-07-20,15.08,15.34,15.15,-0.05,-0.33
2017-07-19,15.03,15.22,15.2,0.1,0.66
2017-07-18,15.1,15.19,15.1,0.08,0.53
2017-07-17,16.07,16.09,15.02,-1.1,-6.82
2017-07-14,16.35,16.4,16.12,-0.25,-1.53
2017-07-13,16.29,16.43,16.37,0.02,0.12
2017-07-12,16.21,16.39,16.35,0.07,0.43
2017-07-11,16.33,16.42,16.28,0.0,0.0
2017-07-10,16.67,16.71,16.28,-0.35,-2.1
2017-07-07,16.87,16.9,16.63,-0.35,-2.06
2017-07-06,16.84,17.15,16.98,0.13,0.77
2017-07-05,16.8,16.93,16.85,-0.06,-0.35
2017-07-04,17.14,17.14,16.91,-0.21,-1.23
2017-07-03,16.8,17.12,17.12,0.36,2.15
2017-06-30,16.93,16.97,16.76,-0.17,-1.0
2017-06-29,17.05,17.09,16.93,-0.14,-0.82
2017-06-28,16.92,17.09,17.07,0.1,0.59
2017-06-27,17.2,17.2,16.97,-0.21,-1.22
2017-06-26,17.24,17.34,17.18,0.02,0.12
2017-06-23,16.6,17.19,17.16,0.48,2.88
2017-06-22,16.64,17.05,16.68,0.06,0.36
2017-06-21,16.72,16.72,16.62,-0.24,-1.42
2017-06-20,16.6,17.26,16.86,0.22,1.32
2017-06-19,16.55,16.75,16.64,0.06,0.36
2017-06-16,16.77,16.88,16.58,-0.27,-1.6
2017-06-15,16.7,17.04,16.85,0.14,0.84
2017-06-14,16.64,16.85,16.71,0.01,0.06
2017-06-13,16.15,16.75,16.7,0.48,2.96
2017-06-12,16.65,16.65,16.22,-0.51,-3.05
