code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f,MA_2,MA_20,MA_160
sh600519,2014-12-31,185.6,190.0,185.0,189.62,0.014879,4626936.0,871581692.0,2.1654566076e+11,2.1654566076e+11,0.004052,1188.346406,2014-09-30,2014-10-30,14.671326,6.945623,19.527417,4.442819,172.981752,,,
sh600519,2014-12-30,183.0,187.98,182.48,186.84,0.018313,5617110.0,1043215631.0,2.1337090632e+11,2.1337090632e+11,0.004919,1170.924225,2014-09-30,2014-10-30,14.456232,6.843794,19.241128,4.377684,170.44569,188.23,,
sh600519,2014-12-29,188.1,190.0,182.0,183.48,-0.021805,8983865.0,1678243808.0,2.0953379304e+11,2.0953379304e+11,0.007867,1149.866715,2014-09-30,2014-10-30,14.196255,6.720717,18.895102,4.298957,167.380452,185.16,,
sh600519,2014-12-26,185.09,189.0,183.0,187.57,0.009363,4267749.0,793340608.0,2.1420456486e+11,2.1420456486e+11,0.003737,1175.498459,2014-09-30,2014-10-30,14.512705,6.870529,19.316294,4.394785,171.111539,185.525,,
sh600519,2014-12-25,183.15,186.0,181.01,185.83,0.015132,4407168.0,806958774.0,2.1221748834e+11,2.1221748834e+11,0.003859,1164.594362,2014-09-30,2014-10-30,14.378083,6.806797,19.137113,4.354019,169.524283,186.7,,
sh600519,2014-12-24,188.0,191.8,180.68,183.06,-0.030711,6355459.0,1187206211.0,2.0905415388e+11,2.0905415388e+11,0.005565,1147.234411,2014-09-30,2014-10-30,14.163757,6.705332,18.851847,4.289116,166.99728,184.445,,
sh600519,2014-12-23,183.78,193.49,182.01,188.86,0.025856,8565082.0,1611272919.0,2.1567774228e+11,2.1567774228e+11,0.0075,1183.583442,2014-09-30,2014-10-30,14.612522,6.917784,19.44915,4.425012,172.28843,185.96,,
sh600519,2014-12-22,179.65,184.29,175.88,184.1,0.01814,7362381.0,1327712485.0,2.102418318e+11,2.102418318e+11,0.006447,1153.75203,2014-09-30,2014-10-30,14.244224,6.743426,18.958947,4.313483,167.946018,186.48,,
sh600519,2014-12-19,179.06,181.98,178.0,180.82,0.008252,4963106.0,892730640.0,2.0649607836e+11,2.0649607836e+11,0.004346,1133.195857,2014-09-30,2014-10-30,13.990437,6.62328,18.621159,4.236631,164.953757,182.46,,
sh600519,2014-12-18,179.69,182.2,179.0,179.34,0.001508,3856750.0,695500784.0,2.0480592132e+11,2.0480592132e+11,0.003377,1123.921259,2014-09-30,2014-10-30,13.875933,6.569072,18.468755,4.201956,163.603699,180.08,,
