code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600519,2014-12-31,185.600000,190.000000,185.000000,189.620000,0.014879,4626936.000000,871581692.000000,216545660760.000000,216545660760.000000,0.004052,1188.346406,2014-09-30,2014-10-30,14.671326,6.945623,19.527417,4.442819,172.981752
sh600519,2014-12-30,183.000000,187.980000,182.480000,186.840000,0.018313,5617110.000000,1043215631.000000,213370906320.000000,213370906320.000000,0.004919,1170.924225,2014-09-30,2014-10-30,14.456232,6.843794,19.241128,4.377684,170.445690
sh600519,2014-12-29,188.100000,190.000000,182.000000,183.480000,-0.021805,8983865.000000,1678243808.000000,209533793040.000000,209533793040.000000,0.007867,1149.866715,2014-09-30,2014-10-30,14.196255,6.720717,18.895102,4.298957,167.380452
sh600519,2014-12-26,185.090000,189.000000,183.000000,187.570000,0.009363,4267749.000000,793340608.000000,214204564860.000000,214204564860.000000,0.003737,1175.498459,2014-09-30,2014-10-30,14.512705,6.870529,19.316294,4.394785,171.111539
sh600519,2014-12-25,183.150000,186.000000,181.010000,185.830000,0.015132,4407168.000000,806958774.000000,212217488340.000000,212217488340.000000,0.003859,1164.594362,2014-09-30,2014-10-30,14.378083,6.806797,19.137113,4.354019,169.524283
sh600519,2014-12-24,188.000000,191.800000,180.680000,183.060000,-0.030711,6355459.000000,1187206211.000000,209054153880.000000,209054153880.000000,0.005565,1147.234411,2014-09-30,2014-10-30,14.163757,6.705332,18.851847,4.289116,166.997280
sh600519,2014-12-23,183.780000,193.490000,182.010000,188.860000,0.025856,8565082.000000,1611272919.000000,215677742280.000000,215677742280.000000,0.007500,1183.583442,2014-09-30,2014-10-30,14.612522,6.917784,19.449150,4.425012,172.288430
sh600519,2014-12-22,179.650000,184.290000,175.880000,184.100000,0.018140,7362381.000000,1327712485.000000,210241831800.000000,210241831800.000000,0.006447,1153.752030,2014-09-30,2014-10-30,14.244224,6.743426,18.958947,4.313483,167.946018
sh600519,2014-12-19,179.060000,181.980000,178.000000,180.820000,0.008252,4963106.000000,892730640.000000,206496078360.000000,206496078360.000000,0.004346,1133.195857,2014-09-30,2014-10-30,13.990437,6.623280,18.621159,4.236631,164.953757
sh600519,2014-12-18,179.690000,182.200000,179.000000,179.340000,0.001508,3856750.000000,695500784.000000,204805921320.000000,204805921320.000000,0.003377,1123.921259,2014-09-30,2014-10-30,13.875933,6.569072,18.468755,4.201956,163.603699
sh600519,2014-12-17,179.990000,181.450000,177.800000,179.070000,-0.008636,6002047.000000,1071735185.000000,204497581860.000000,204497581860.000000,0.005256,1122.228938,2014-09-30,2014-10-30,13.855039,6.559181,18.440946,4.195629,163.357356
sh600519,2014-12-16,183.700000,183.700000,178.110000,180.630000,-0.018529,5112944.000000,918180186.000000,206279098740.000000,206279098740.000000,0.004477,1132.004932,2014-09-30,2014-10-30,13.975734,6.616319,18.601590,4.232178,164.780400
sh600519,2014-12-15,176.600000,184.100000,175.430000,184.040000,0.042188,7096432.000000,1281924243.000000,210173311920.000000,210173311920.000000,0.006214,1153.375833,2014-09-30,2014-10-30,14.239579,6.741227,18.952765,4.312077,167.891257
sh600519,2014-12-12,176.780000,180.990000,176.000000,176.590000,0.003980,5105516.000000,911591087.000000,201665426820.000000,201665426820.000000,0.004471,1106.686925,2014-09-30,2014-10-30,13.663158,6.468341,18.185553,4.137523,161.094982
sh600519,2014-12-11,180.000000,181.940000,175.290000,175.890000,-0.022399,5488215.000000,975885692.000000,200866028220.000000,200866028220.000000,0.004806,1102.299772,2014-09-30,2014-10-30,13.608994,6.442699,18.113462,4.121121,160.456365
sh600519,2014-12-10,175.000000,183.500000,175.000000,179.920000,0.040842,10665611.000000,1919193466.000000,205468280160.000000,205468280160.000000,0.009339,1127.555896,2014-09-30,2014-10-30,13.920806,6.590315,18.528481,4.215545,164.132775
sh600519,2014-12-09,172.000000,186.620000,171.500000,172.860000,-0.000636,15189028.000000,2713372288.000000,197405774280.000000,197405774280.000000,0.013300,1083.311296,2014-09-30,2014-10-30,13.374562,6.331715,17.801435,4.050129,157.692306
sh600519,2014-12-08,168.840000,176.490000,167.200000,172.970000,0.011994,10089431.000000,1731248492.000000,197531394060.000000,197531394060.000000,0.008835,1084.000721,2014-09-30,2014-10-30,13.383074,6.335745,17.812764,4.052707,157.792662
sh600519,2014-12-05,177.990000,178.960000,168.600000,170.920000,-0.018435,11290144.000000,1943937520.000000,195190298160.000000,195190298160.000000,0.009886,1071.153308,2014-09-30,2014-10-30,13.224460,6.260655,17.601650,4.004675,155.922528
sh600519,2014-12-04,166.500000,174.500000,166.500000,174.130000,0.056422,11778143.000000,2020248736.000000,198856111740.000000,198856111740.000000,0.010314,1091.270887,2014-09-30,2014-10-30,13.472831,6.378238,17.932230,4.079887,158.850945
sh600519,2014-12-03,162.440000,168.300000,162.360000,164.830000,0.022899,11732264.000000,1936848371.000000,188235530340.000000,188235530340.000000,0.010273,1032.987657,2014-09-30,2014-10-30,12.753267,6.037585,16.974495,3.861986,150.366941
sh600519,2014-12-02,159.050000,161.200000,158.250000,161.140000,0.006747,9926819.000000,1588412356.000000,184021557720.000000,184021557720.000000,0.008693,1009.862809,2014-09-30,2014-10-30,12.467767,5.902425,16.594498,3.775531,147.000771
sh600519,2014-12-01,156.570000,161.000000,156.000000,160.060000,0.027079,12174001.000000,1932844688.000000,182788199880.000000,182788199880.000000,0.010660,1003.094927,2014-09-30,2014-10-30,12.384211,5.862869,16.483285,3.750228,146.015603
sh600519,2014-11-28,156.570000,156.570000,153.170000,155.840000,-0.005361,8828818.000000,1363855095.000000,177968968320.000000,177968968320.000000,0.007731,976.648269,2014-09-30,2014-10-30,12.057700,5.708294,16.048702,3.651353,142.165893
sh600519,2014-11-27,155.000000,157.220000,154.000000,156.680000,0.004681,9655151.000000,1508603314.000000,178928246640.000000,178928246640.000000,0.008455,981.912301,2014-09-30,2014-10-30,12.122690,5.739061,16.135203,3.671033,142.932152
sh600519,2014-11-26,154.600000,156.360000,153.890000,155.950000,0.008471,6385897.000000,990302232.000000,178094588100.000000,178094588100.000000,0.005592,977.337384,2014-09-30,2014-10-30,12.066208,5.712321,16.060026,3.653929,142.266204
sh600519,2014-11-25,153.420000,154.850000,152.800000,154.640000,0.004482,5323130.000000,816840942.000000,176598570720.000000,176598570720.000000,0.004661,969.127902,2014-09-30,2014-10-30,11.964854,5.664339,15.925125,3.623237,141.071190
sh600519,2014-11-24,153.880000,155.000000,152.000000,153.950000,0.005355,5387899.000000,828662510.000000,175810592100.000000,175810592100.000000,0.004718,964.803652,2014-09-30,2014-10-30,11.911467,5.639064,15.854067,3.607070,140.441730
sh600519,2014-11-21,150.560000,153.200000,150.200000,153.130000,0.016260,4199078.000000,638007382.000000,174874153740.000000,174874153740.000000,0.003677,959.664648,2014-09-30,2014-10-30,11.848021,5.609028,15.769620,3.587857,139.693671
sh600519,2014-11-20,152.880000,152.920000,150.490000,150.680000,-0.015614,4625841.000000,698848962.000000,172076258640.000000,172076258640.000000,0.004051,944.310165,2014-09-30,2014-10-30,11.658454,5.519285,15.517309,3.530452,137.458594
sh600519,2014-11-19,155.570000,155.650000,152.610000,153.070000,-0.016576,4629074.000000,710715289.000000,174805633860.000000,174805633860.000000,0.004053,959.288495,2014-09-30,2014-10-30,11.843377,5.606830,15.763439,3.586451,139.638916
sh600519,2014-11-18,161.000000,161.820000,155.000000,155.650000,-0.027491,6349780.000000,1001883689.000000,177751988700.000000,177751988700.000000,0.005560,975.457682,2014-09-30,2014-10-30,12.043001,5.701335,16.029138,3.646902,141.992585
sh600519,2014-11-17,168.000000,168.000000,160.000000,160.050000,0.017547,15041623.000000,2451673881.000000,182776779900.000000,182776779900.000000,0.013171,1003.032035,2014-09-30,2014-10-30,12.383434,5.862501,16.482252,3.749993,146.006448
sh600519,2014-11-14,151.560000,157.630000,150.910000,157.290000,0.037670,7522508.000000,1168803281.000000,179624865420.000000,179624865420.000000,0.006587,985.735337,2014-09-30,2014-10-30,12.169889,5.761406,16.198025,3.685326,143.488653
sh600519,2014-11-13,152.720000,152.730000,149.680000,151.580000,-0.008568,4915556.000000,739602881.000000,173104056840.000000,173104056840.000000,0.004304,949.950695,2014-09-30,2014-10-30,11.728092,5.552252,15.609996,3.551540,138.279658
sh600519,2014-11-12,152.980000,153.590000,150.200000,152.890000,-0.003000,3082375.000000,467531849.000000,174600074220.000000,174600074220.000000,0.002699,958.160211,2014-09-30,2014-10-30,11.829447,5.600235,15.744899,3.582232,139.474677
sh600519,2014-11-11,154.300000,155.200000,152.010000,153.350000,-0.002731,4770689.000000,733026108.000000,175125393300.000000,175125393300.000000,0.004177,961.043341,2014-09-30,2014-10-30,11.865042,5.617086,15.792276,3.593011,139.894360
sh600519,2014-11-10,150.000000,153.780000,149.000000,153.770000,0.038706,6232521.000000,945032808.000000,175605032460.000000,175605032460.000000,0.005458,963.675138,2014-09-30,2014-10-30,11.897534,5.632469,15.835522,3.602851,140.277458
sh600519,2014-11-07,147.170000,148.300000,147.110000,148.040000,0.006048,4150731.000000,613638074.000000,169061383920.000000,169061383920.000000,0.003635,927.765064,2014-09-30,2014-10-30,11.454188,5.422582,15.245433,3.468595,135.050205
sh600519,2014-11-06,146.150000,147.490000,146.010000,147.150000,0.006842,3636297.000000,533913212.000000,168045005700.000000,168045005700.000000,0.003184,922.187673,2014-09-30,2014-10-30,11.385330,5.389983,15.153783,3.447743,134.238332
sh600519,2014-11-05,151.050000,151.050000,145.500000,146.150000,-0.034613,7671979.000000,1131348484.000000,166903007700.000000,166903007700.000000,0.006718,915.920942,2014-09-30,2014-10-30,11.307961,5.353356,15.050805,3.424314,133.326114
sh600519,2014-11-04,155.490000,155.490000,151.000000,151.390000,-0.026931,5594390.000000,854409063.000000,172887077220.000000,172887077220.000000,0.004899,948.760385,2014-09-30,2014-10-30,11.713397,5.545295,15.590437,3.547090,138.106391
sh600519,2014-11-03,156.750000,156.880000,155.450000,155.580000,-0.007021,2467006.000000,384677498.000000,177672048840.000000,177672048840.000000,0.002160,975.018611,2014-09-30,2014-10-30,12.037581,5.698769,16.021923,3.645260,141.928672
sh600519,2014-10-31,155.470000,156.900000,154.350000,156.680000,0.008107,3642170.000000,567067439.000000,178928246640.000000,178928246640.000000,0.003189,981.912619,2014-09-30,2014-10-30,12.122694,5.739063,16.135208,3.671034,142.932199
sh600519,2014-10-30,158.000000,158.000000,155.100000,155.420000,-0.018193,4908702.000000,764742330.000000,177489329160.000000,177489329160.000000,0.004298,974.016270,2014-09-30,2014-10-30,12.025206,5.692910,16.005452,3.641513,141.782766
