date,high,low,close,change,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2013-01-04,212.0,205.0,206.94,-0.009951,212.0,205.0,,
2013-01-07,205.88,202.5,204.29,-0.012806,212.0,202.5,,
2013-01-08,210.85,203.18,210.84,0.032062,212.0,202.5,0.0,209.019957598
2013-01-09,217.65,211.5,216.45,0.026608,217.65,202.5,0.0,209.019957598
2013-01-10,217.0,213.0,214.5,-0.009009,217.65,202.5,1.0,207.1368968
2013-01-11,215.15,209.88,211.26,-0.015105,217.65,202.5,1.0,204.008093974
2013-01-14,210.3,202.81,209.42,-0.00871,217.65,202.5,1.0,202.231183475
2013-01-15,212.1,206.82,210.85,0.006828,217.65,202.5,1.0,203.612017996
2013-01-16,206.8,203.68,206.0,-0.023002,217.65,202.5,1.0,198.928534358
2013-01-17,207.68,204.52,205.13,-0.004223,217.65,202.5,1.0,198.088459158
2013-01-18,206.48,200.11,203.76,-0.006679,217.65,200.11,1.0,196.765426339
2013-01-21,202.8,196.3,197.31,-0.031655,217.65,196.3,1.0,190.536816768
2013-01-22,199.73,189.0,198.83,0.007704,217.65,189.0,0.0,190.536816768
2013-01-23,199.51,193.8,198.98,0.000754,217.65,189.0,0.0,190.536816768
2013-01-24,200.1,194.8,195.96,-0.015177,217.65,189.0,0.0,190.536816768
2013-01-25,191.8,186.1,189.05,-0.035262,217.65,186.1,0.0,190.536816768
2013-01-28,187.8,178.0,178.5,-0.055805,217.65,178.0,0.0,190.536816768
2013-01-29,179.99,172.0,178.16,-0.001905,217.65,172.0,0.0,190.536816768
2013-01-30,182.49,176.68,180.12,0.011001,217.65,172.0,0.0,190.536816768
2013-01-31,181.8,177.77,178.9,-0.006773,217.65,172.0,0.0,190.536816768
2013-02-01,181.77,178.03,178.98,0.000447,217.65,172.0,0.0,190.536816768
2013-02-04,180.95,174.0,175.13,-0.021511,217.65,172.0,0.0,190.536816768
2013-02-05,184.5,173.8,184.43,0.053103,217.65,172.0,0.0,190.536816768
2013-02-06,185.07,182.0,183.93,-0.002711,217.0,172.0,0.0,190.536816768
2013-02-07,186.55,181.32,185.17,0.006742,215.15,172.0,0.0,190.536816768
2013-02-08,188.4,184.3,187.86,0.014527,212.1,172.0,0.0,190.536816768
2013-02-18,188.3,179.0,179.69,-0.04349,212.1,172.0,0.0,190.536816768
2013-02-19,180.59,176.8,177.92,-0.00985,207.68,172.0,0.0,190.536816768
2013-02-20,179.98,175.02,177.9,-0.000112,207.68,172.0,0.0,190.536816768
